image_id,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10
4335208166,shovel,snowplow,tub,yurt,park_bench,bathtub,mobile_home,bobsled,snowmobile,barn
4376885587,butcher_shop,confectionery,grocery_store,greenhouse,pinwheel,bubble,garbage_truck,shovel,ashcan,birdhouse
4378292487,swing,lakeside,shovel,canoe,barrow,pole,seashore,paddle,totem_pole,dogsled
4380791132,valley,geyser,dam,Arctic_fox,alp,fountain,volcano,collie,cliff,breakwater
4370407488,stretcher,neck_brace,skunk,cradle,bassinet,pajama,studio_couch,diaper,park_bench,swing
4358620898,reflex_camera,loudspeaker,water_bottle,gasmask,oxygen_mask,washer,CD_player,spotlight,dishwasher,microphone
4320274916,sweatshirt,cloak,ski_mask,kimono,poncho,bearskin,stole,mask,abaya,cardigan
4376915982,parallel_bars,swing,horizontal_bar,cannon,balance_beam,unicycle,guillotine,barrow,bannister,shield
4376273107,cardoon,ladybug,web_site,lycaenid,ant,fly,bee_eater,bee,dragonfly,rapeseed
4338278370,coral_reef,scuba_diver,brain_coral,lionfish,sea_snake,wreck,loggerhead,anemone_fish,rock_beauty,sea_anemone
4334461967,teddy,dogsled,Saint_Bernard,Lakeland_terrier,German_shepherd,Airedale,Norfolk_terrier,fur_coat,snowmobile,pug
4364439293,safety_pin,abacus,envelope,ski,quill,shoe_shop,swab,book_jacket,vestment,shower_curtain
2726745791,hen,ruffed_grouse,frilled_lizard,great_grey_owl,prairie_chicken,partridge,cock,black_grouse,quail,house_finch
4385325717,space_shuttle,bell_cote,radio_telescope,jersey,toilet_seat,liner,totem_pole,dock,sewing_machine,street_sign
4362782157,pickup,fire_engine,convertible,tow_truck,beach_wagon,grille,car_wheel,amphibian,ambulance,cab
4316203388,park_bench,mountain_tent,lakeside,stone_wall,dogsled,snowmobile,megalith,birdhouse,viaduct,mailbox
4379390507,lab_coat,marimba,pajama,groom,suit,kimono,stage,steel_drum,trench_coat,microphone
4370371521,spotlight,suspension_bridge,beacon,obelisk,castle,lampshade,bell_cote,lakeside,crane,fountain
3770292918,abaya,suit,wig,gasmask,cloak,academic_gown,hair_spray,mask,groom,bow_tie
4360984940,wig,stole,wool,fur_coat,hair_spray,bonnet,feather_boa,poncho,bearskin,Irish_water_spaniel
4356513675,tabby,tiger_cat,lynx,Egyptian_cat,Persian_cat,snow_leopard,book_jacket,leopard,carton,comic_book
4347980546,vase,coffee_mug,cup,bucket,pot,goblet,pitcher,hamper,soap_dispenser,head_cabbage
3368971520,book_jacket,comic_book,web_site,pay-phone,toyshop,fountain,bookshop,monitor,television,barbershop
4377631779,shoji,window_screen,sliding_door,fire_screen,handkerchief,window_shade,space_heater,monitor,tray,wardrobe
4377411484,greenhouse,maze,stone_wall,worm_fence,patio,picket_fence,unicycle,bannister,mobile_home,chainlink_fence
4351513309,Boston_bull,basenji,kelpie,Border_collie,Staffordshire_bullterrier,Chihuahua,schipperke,Cardigan,toy_terrier,American_Staffordshire_terrier
4381957441,shoe_shop,flagpole,book_jacket,web_site,toyshop,ski,wardrobe,stage,comic_book,pole
4380091383,scoreboard,jinrikisha,street_sign,shopping_cart,cinema,comic_book,restaurant,trailer_truck,dogsled,worm_fence
4364593318,bathing_cap,fountain,swimming_trunks,sea_lion,tub,ice_bear,great_white_shark,bikini,breakwater,paddle
