image_id,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5
4335208166,courtyard,ice_shelf,ice_floe,atrium/public,greenhouse/indoor
4376885587,aquarium,pet_shop,amusement_park,swimming_pool/indoor,slum
4378292487,campsite,sandbox,picnic_area,porch,archaelogical_excavation
4380791132,waterfall,clothing_store,fountain,ice_shelf,fabric_store
4370407488,childs_room,ice_floe,berth,nursery,bedroom
4358620898,shower,underwater/ocean_deep,bathroom,science_museum,beauty_salon
4320274916,discotheque,airport_terminal,beauty_salon,bowling_alley,television_studio
4376915982,playground,water_park,sandbox,childs_room,playroom
4376273107,art_gallery,elevator/door,art_studio,museum/indoor,art_school
4338278370,underwater/ocean_deep,aquarium,ice_floe,pond,iceberg
4334461967,igloo,ice_floe,ice_shelf,iceberg,ski_slope
4364439293,kindergarden_classroom,museum/indoor,art_school,nursery,art_studio
2726745791,ice_floe,underwater/ocean_deep,iceberg,aquarium,glacier
4385325717,nursery,kindergarden_classroom,classroom,museum/indoor,drugstore
4362782157,raceway,parking_lot,bus_station/indoor,promenade,gas_station
4316203388,forest/broadleaf,swamp,river,viaduct,bridge
4379390507,discotheque,clean_room,stage/indoor,dressing_room,museum/indoor
4370371521,attic,corridor,art_gallery,alcove,museum/indoor
3770292918,museum/indoor,escalator/indoor,clean_room,discotheque,art_gallery
4360984940,discotheque,chemistry_lab,stage/indoor,bowling_alley,biology_laboratory
4356513675,museum/indoor,home_theater,pet_shop,art_gallery,shopfront
4347980546,museum/indoor,ice_shelf,shower,aquarium,iceberg
3368971520,art_school,art_studio,museum/indoor,kindergarden_classroom,art_gallery
4377631779,bow_window/indoor,office_building,airport_terminal,jail_cell,kennel/outdoor
4377411484,greenhouse/outdoor,greenhouse/indoor,swimming_pool/indoor,pond,pavilion
4351513309,fountain,landing_deck,crosswalk,gymnasium/indoor,playground
4381957441,childs_room,nursery,playroom,bedroom,closet
4380091383,diner/outdoor,coffee_shop,motel,museum/outdoor,general_store/outdoor
4364593318,wave,raft,ocean,ice_floe,coast
4380506035,artists_loft,lobby,reception,airport_terminal,elevator_lobby
4317864481,cottage,house,tree_house,hunting_lodge/outdoor,orchard
4339717775,sky,desert/sand,desert_road,wheat_field,valley
4363435212,iceberg,ice_shelf,ocean,coast,glacier
4370855761,ski_resort,motel,schoolhouse,inn/outdoor,residential_neighborhood
4355163718,ice_floe,ice_shelf,clean_room,glacier,iceberg
4380591706,art_gallery,museum/indoor,science_museum,art_studio,artists_loft
4381526485,ice_floe,iceberg,ice_shelf,igloo,nursery
4373467819,museum/indoor,beauty_salon,science_museum,dressing_room,shower
4360320677,museum/indoor,science_museum,natural_history_museum,arch,alcove
4333907653,toyshop,art_studio,art_school,church/indoor,childs_room
4363937156,playroom,art_gallery,artists_loft,reception,lobby
4349634289,creek,trench,river,ice_shelf,forest/broadleaf
4380687595,gazebo/exterior,pavilion,mosque/outdoor,temple/asia,greenhouse/outdoor
4318361746,ski_slope,ski_resort,desert/sand,mountain_snowy,valley
4380264475,nursery,playroom,candy_store,bakery/shop,childs_room
4376173574,sky,art_gallery,ice_shelf,iceberg,home_theater
4386359942,ice_floe,desert/sand,forest/broadleaf,sky,ice_shelf
4365267806,ice_shelf,ice_floe,runway,snowfield,ski_slope
4337583210,fabric_store,kindergarden_classroom,shoe_shop,jewelry_shop,toyshop
4317449320,desert/sand,ice_cream_parlor,sky,coffee_shop,museum/indoor
4374751744,pet_shop,kennel/outdoor,veterinarians_office,corral,sandbox
4323968915,desert/sand,beach,coast,ocean,ice_shelf
4404939496,shower,bathroom,jacuzzi/indoor,locker_room,sauna
4316518980,igloo,cemetery,ice_floe,mausoleum,ice_shelf
4865987185,ice_shelf,shower,museum/indoor,clean_room,dressing_room
4371395197,beach,ocean,coast,sky,lake/natural
4375002605,nursery,childs_room,bedroom,bedchamber,bow_window/indoor
4363033948,athletic_field/outdoor,soccer_field,playground,volleyball_court/outdoor,park
4349206124,badlands,canyon,butte,mountain,valley
4315790410,ice_floe,museum/indoor,art_gallery,natural_history_museum,iceberg
4355375710,crevasse,ice_shelf,glacier,ice_floe,iceberg
4342088276,reception,conference_room,waiting_room,office,home_office
4376281699,sky,iceberg,ice_floe,ice_shelf,igloo
4379992266,clean_room,clothing_store,science_museum,gift_shop,natural_history_museum
375532425,clean_room,alcove,museum/indoor,art_gallery,operating_room
4383939264,igloo,ice_floe,glacier,ice_shelf,crevasse
3746361233,atrium/public,clean_room,escalator/indoor,airport_terminal,iceberg
4351649039,mountain_snowy,ice_shelf,snowfield,valley,mountain
4367721561,candy_store,hardware_store,drugstore,supermarket,general_store/indoor
4370569086,parking_lot,coffee_shop,ice_cream_parlor,chemistry_lab,crosswalk
4366243989,jacuzzi/indoor,sandbox,swimming_pool/indoor,zen_garden,water_park
4332137750,ocean,skyscraper,sky,ice_floe,coast
4073606059,ballroom,museum/indoor,dressing_room,desert/sand,stage/indoor
4354997855,sky,iceberg,ice_shelf,aquarium,crevasse
4383723434,staircase,entrance_hall,corridor,mezzanine,artists_loft
2545852959,museum/indoor,park,cemetery,dressing_room,bow_window/indoor
4418378816,forest/broadleaf,rainforest,forest_path,botanical_garden,cemetery
4330455299,office_building,industrial_area,skyscraper,building_facade,hospital
4343294492,operating_room,chemistry_lab,art_school,biology_laboratory,hospital_room
4363363114,ball_pit,playroom,childs_room,art_studio,fishpond
4386324524,ice_shelf,ice_floe,booth/indoor,drugstore,childs_room
4378163144,desert/sand,sauna,amphitheater,boardwalk,bullring
4374395011,museum/indoor,discotheque,natural_history_museum,science_museum,ice_floe
4315193570,nursery,burial_chamber,cemetery,jewelry_shop,natural_history_museum
4365398852,swamp,forest/broadleaf,ice_shelf,tree_farm,ice_floe
4380185017,bathroom,jewelry_shop,coffee_shop,gift_shop,bakery/shop
4376140540,iceberg,ice_shelf,ice_floe,conference_room,lake/natural
4365167153,beach,desert/sand,coast,watering_hole,ocean
4376285744,desert/sand,mosque/outdoor,oast_house,sky,tower
4373697122,campsite,igloo,iceberg,glacier,crevasse
4382227605,discotheque,stage/indoor,music_studio,arena/performance,bar
4315272381,drugstore,booth/indoor,pharmacy,kindergarden_classroom,hardware_store
4343829697,lake/natural,marsh,ice_floe,swamp,pond
4382296870,pond,lake/natural,music_studio,martial_arts_gym,ice_floe
4322302342,lake/natural,islet,boathouse,river,ice_shelf
4318611445,museum/indoor,jewelry_shop,gift_shop,natural_history_museum,science_museum
4379372918,kasbah,skyscraper,downtown,office_building,hospital
4375618501,museum/indoor,art_gallery,science_museum,natural_history_museum,clothing_store
4354829945,candy_store,underwater/ocean_deep,aquarium,bakery/shop,pharmacy
4329183442,childs_room,shoe_shop,bakery/shop,clothing_store,nursery
4382190586,clean_room,chemistry_lab,drugstore,biology_laboratory,airport_terminal
4378188318,sky,forest/broadleaf,bamboo_forest,wheat_field,snowfield
4380202979,museum/indoor,beauty_salon,dressing_room,shower,chemistry_lab
4380525795,barndoor,doorway/outdoor,elevator/door,closet,shower
4375507440,aquarium,pond,iceberg,lake/natural,ice_floe
4377680544,assembly_line,clean_room,auto_factory,science_museum,biology_laboratory
4340848464,forest_road,forest_path,highway,field_road,mountain_path
4375646705,subway_station/platform,train_station/platform,airport_terminal,escalator/indoor,railroad_track
4378233410,playground,sandbox,yard,park,driveway
4385044648,industrial_area,office_building,building_facade,hospital,mausoleum
4372121855,lagoon,valley,glacier,beach,coast
4320532306,nursery,kennel/outdoor,balcony/interior,patio,veterinarians_office
4375417065,toyshop,clean_room,gift_shop,playroom,operating_room
4365588299,parking_lot,crosswalk,fountain,sky,underwater/ocean_deep
4371623885,industrial_area,skyscraper,downtown,harbor,tower
4367405051,field/cultivated,racecourse,desert/sand,beach,wheat_field
4342081263,department_store,food_court,ice_cream_parlor,shopping_mall/indoor,general_store/indoor
4364456945,kasbah,art_studio,childs_room,art_school,tower
4326709633,ice_shelf,ocean,iceberg,beach,coast
4338153993,dressing_room,beauty_salon,shoe_shop,clothing_store,playroom
4378416652,clean_room,childs_room,office_cubicles,nursery,kindergarden_classroom
4384590292,office_building,jail_cell,elevator_shaft,skyscraper,construction_site
4315281067,museum/indoor,science_museum,natural_history_museum,art_gallery,iceberg
4371802779,bathroom,chemistry_lab,coffee_shop,science_museum,drugstore
4357150012,bathroom,shower,drugstore,beauty_salon,jacuzzi/indoor
4345220953,home_theater,television_room,aquarium,art_gallery,movie_theater/indoor
4348271369,art_gallery,playroom,science_museum,museum/indoor,art_studio
4319540391,clean_room,museum/indoor,ice_floe,ski_slope,physics_laboratory
4382436417,nursery,beauty_salon,childs_room,playroom,ice_cream_parlor
4381248069,museum/indoor,mosque/outdoor,martial_arts_gym,clean_room,tower
4315917807,ice_floe,ice_shelf,iceberg,crevasse,glacier
4365256991,tower,skyscraper,cemetery,mausoleum,ruin
4335667948,ice_skating_rink/indoor,ice_skating_rink/outdoor,arena/hockey,arena/performance,clothing_store
4357045613,patio,campsite,living_room,playground,childs_room
233180526,desert/sand,desert_road,parking_lot,crosswalk,alley
4380820098,iceberg,natural_history_museum,science_museum,gift_shop,clothing_store
4376376521,swamp,marsh,lake/natural,pond,river
4384636794,field/cultivated,fabric_store,ball_pit,stadium/soccer,candy_store
4317683042,promenade,highway,bridge,arch,ticket_booth
4316300957,campsite,operating_room,hospital_room,clean_room,sandbox
4380437056,dressing_room,discotheque,shower,orchard,martial_arts_gym
1282542580,clean_room,archive,art_studio,kindergarden_classroom,art_gallery
4341537720,playground,park,street,plaza,promenade
4317700696,banquet_hall,chemistry_lab,jewelry_shop,ballroom,bar
4316927131,zen_garden,ice_floe,ice_shelf,iceberg,igloo
4384158781,aquarium,underwater/ocean_deep,wheat_field,field/wild,ice_floe
4378949845,ice_cream_parlor,bakery/shop,ice_floe,childs_room,aquarium
4325960285,sandbox,campsite,desert/sand,kennel/outdoor,childs_room
4380757038,wheat_field,valley,corn_field,mountain_snowy,ice_shelf
4360815868,ice_floe,igloo,iceberg,crevasse,museum/indoor
4363332753,hospital_room,childs_room,nursery,kindergarden_classroom,beauty_salon
4375096427,parking_lot,forest_road,park,highway,driveway
